work_id,rating,score_num,comment_num,watched_num,ratio,5star_num,4star_num,3star_num,2star_num,1star_num
30313647,5.2,216338,104723,,0.484,102,82,12,99,263
27591191,6.3,27195,12470,,0.459,289,66,20,39,145
26765418,4.5,80288,29401,,0.366,84,89,122,62,176
26615597,4.6,14477,5788,,0.4,146,82,110,95,120
35029547,5.9,522432,320607,,0.614,131,83,95,121,125
27075195,6.0,67673,26825,,0.396,80,149,113,85,121
30157168,6.6,56349,21084,,0.374,54,115,170,100,106
26971645,2.8,15663,5701,,0.364,3,10,19,90,407
26877434,7.0,84427,37581,,0.445,195,218,72,40,33
26926450,5.4,24720,10380,,0.42,64,74,125,153,130
30400625,4.9,37221,19201,,0.516,31,62,108,168,176
35125443,6.7,164834,72990,,0.443,72,163,208,75,16
26811532,5.3,145230,74677,,0.514,40,38,4,113,365
30148173,3.2,412250,213417,,0.518,20,13,49,69,396
30463682,5.5,30787,15103,,0.491,26,60,168,185,97
35152536,5.9,134263,60209,,0.448,98,51,38,93,276
30176770,5.9,195505,86052,,0.44,46,5,17,164,328
34463312,6.6,35832,12141,,0.339,54,157,215,68,49
34972208,6.6,24196,6205,,0.256,38,166,234,77,32
26826330,6.5,638560,266317,,0.417,224,217,31,42,45
35058573,6.9,100239,41963,,0.419,269,172,35,34,46
34779776,8.1,653387,307539,,0.471,186,118,97,50,103
35431984,6.2,60361,25824,,0.428,86,83,134,114,128
26575103,4.9,354376,110649,,0.312,28,28,145,216,129
27135558,5.0,121361,42923,,0.354,46,32,151,156,150
34807445,4.8,57779,16708,,0.289,47,39,136,112,208
26882446,4.4,113078,49946,,0.442,180,98,38,45,199
27195020,7.7,1688637,837539,,0.496,233,52,1,22,251
27155276,3.4,38201,12742,,0.334,15,21,77,154,276
25779217,4.5,650575,340751,,0.524,16,5,6,25,507
25853071,7.9,991348,353423,,0.357,227,53,29,112,137
26743567,6.1,349956,191609,,0.548,317,154,8,0,81
30313969,6.3,838268,524141,,0.625,491,54,1,0,14
30403219,6.0,298730,170935,,0.572,367,26,18,51,96
27069428,5.6,365768,180982,,0.495,65,4,0,47,444
35209733,8.2,39964,15173,,0.38,304,147,70,15,8
33442334,6.3,226379,103875,,0.459,144,75,125,132,73
34908108,7.3,164681,92972,,0.565,207,74,134,74,58
35372742,6.7,584523,302418,,0.517,391,450,565,174,420
25829175,4.4,155398,59813,,0.385,59,54,65,155,216
26999852,7.1,400331,141485,,0.353,51,115,133,85,168
30454698,4.4,11312,4928,,0.436,55,84,118,160,127
26915522,6.8,342031,153669,,0.449,312,95,2,50,101
27663766,6.0,12007,3385,,0.282,41,96,221,98,92
26703476,5.9,88225,34222,,0.388,61,48,105,116,213
26654146,5.0,191506,62447,,0.326,56,57,117,165,155
26691361,4.5,70166,23244,,0.331,42,43,81,177,209
27088995,5.3,106266,39333,,0.37,87,61,62,120,225
27073044,5.0,116610,41995,,0.36,108,27,3,56,365
33454980,6.9,456197,201528,,0.442,110,17,17,102,313
35235410,5.7,203595,114154,,0.561,129,52,147,149,77
30258233,6.2,38838,13634,,0.351,77,116,175,102,78
27611494,5.3,66918,27728,,0.414,105,136,102,134,74
34463197,7.3,357777,142205,,0.397,50,91,94,189,122
34908020,6.5,85320,32671,,0.383,104,104,49,134,162
26926445,6.0,306266,145621,,0.475,309,55,0,33,163
35082299,4.3,20867,7869,,0.377,22,34,83,137,276
35131244,3.8,49207,23083,,0.469,10,7,24,114,391
26339609,5.7,129138,66872,,0.518,52,24,66,139,269
35452438,7.7,525019,239400,,0.456,104,65,89,110,189
35274947,5.8,20695,10034,,0.485,52,52,107,133,204
35164015,8.0,33029,12354,,0.374,427,74,15,24,20
30476726,5.5,61678,32784,,0.532,292,240,3,0,25
26798457,4.8,122808,64029,,0.521,19,12,3,84,442
34454212,6.3,82216,41184,,0.501,148,76,39,74,219
26386688,5.5,64510,25468,,0.395,87,49,8,72,343
26928226,7.8,501851,195546,,0.39,79,24,25,186,246
35180907,6.2,202938,83434,,0.411,44,82,162,156,105
34951002,7.1,243179,133022,,0.547,170,73,139,96,79
35161592,8.2,352205,134742,,0.383,180,137,113,53,60
27145093,6.8,73117,34587,,0.473,319,136,17,38,48
26673282,3.8,48050,22185,,0.462,34,40,59,91,323
35096844,7.2,733631,277679,,0.378,225,74,60,113,86
35087699,6.9,240413,94612,,0.394,132,152,165,59,40
25845392,7.4,732140,256744,,0.351,230,124,131,56,13
35312437,7.4,540284,207305,,0.384,197,172,130,24,29
35613853,7.2,343905,110806,,0.322,134,199,179,37,3
30166972,8.2,1439921,487074,,0.338,167,174,78,51,71
35766491,7.1,849597,361653,,0.426,117,160,168,78,33
35187381,5.2,35028,19279,,0.55,79,87,151,140,91
1292052,9.7,2826380,553533,,0.196,392,103,26,15,8
1291546,9.6,2094515,445227,,0.213,410,69,14,16,10
1292720,9.5,2116313,354470,,0.167,345,128,25,8,12
1292722,9.5,2124229,422456,,0.199,368,144,24,6,2
1295644,9.4,2250555,383893,,0.171,356,137,24,11,7
1292063,9.6,1300919,284800,,0.219,367,93,33,11,3
1291561,9.4,2193404,406378,,0.185,356,120,26,15,4
1295124,9.6,1083589,180658,,0.167,418,96,20,3,4
3541415,9.4,2021568,396248,,0.196,323,140,58,2,4
1889243,9.4,1786377,438006,,0.245,301,139,66,18,18
1292064,9.4,1657974,329729,,0.199,136,60,16,2,1
3011091,9.4,1373733,302261,,0.22,133,63,14,3,2
1292001,9.3,1646379,330886,,0.201,314,146,56,25,7
3793023,9.2,1824906,360173,,0.197,293,127,60,10,1
1291549,9.3,1286442,226199,,0.176,351,146,46,7,1
2131459,9.3,1291616,232612,,0.18,384,137,18,3,1
1307914,9.3,1331554,217043,,0.163,314,163,32,4,0
25662329,9.2,1884403,381114,,0.202,250,199,53,14,6
1296141,9.6,535805,155931,,0.291,321,64,7,3,0
1292213,9.2,1503109,253416,,0.169,326,111,48,19,15
5912992,9.4,914712,213431,,0.233,315,144,31,3,0
1291841,9.3,945048,162326,,0.172,328,116,59,8,4
1849031,9.2,1490973,242659,,0.163,253,183,70,15,10
6786002,9.3,1086280,237395,,0.219,269,187,58,5,3
3319755,9.1,1796818,419095,,0.233,281,195,43,6,3
1291560,9.2,1239529,231527,,0.187,343,158,34,4,1
1293172,9.3,857903,177230,,0.207,379,136,17,9,3
20495023,9.1,1633945,419305,,0.257,251,170,76,25,13
1292365,9.3,824286,176092,,0.214,321,163,49,6,3
1851857,9.2,1034525,178450,,0.172,353,142,32,8,3
1295038,9.2,1158164,182218,,0.157,233,220,74,15,3
1291552,9.3,786171,112528,,0.143,393,108,34,6,3
1300267,9.3,676217,152481,,0.225,349,130,29,13,9
26752088,9.0,2056399,532245,,0.259,235,190,76,25,13
21937452,9.3,672193,143427,,0.213,265,193,64,4,2
2129039,9.1,1297611,212403,,0.164,168,103,32,1,0
30170448,9.1,1023276,258903,,0.253,102,79,17,4,1
1293182,9.4,477623,115061,,0.241,459,77,12,4,0
1308807,9.1,998464,179446,,0.18,238,196,74,26,7
26387939,9.0,1540159,312594,,0.203,252,190,75,19,2
1291858,9.3,613285,117393,,0.191,447,73,14,6,6
1929463,9.1,1326537,305420,,0.23,278,190,65,9,3
3742360,9.0,1663329,318262,,0.191,257,137,93,26,17
1305487,9.1,995207,180701,,0.182,226,256,62,6,1
25958717,9.3,587069,179733,,0.306,212,190,90,46,4
1296736,9.3,619923,115475,,0.186,326,162,51,5,3
1299398,9.0,1197239,134833,,0.113,276,150,52,20,17
1291583,9.2,803186,121610,,0.151,318,171,49,6,2
1291572,9.2,736427,86568,,0.118,346,138,35,3,0
1298624,9.1,861440,175756,,0.204,286,189,54,10,7
1291828,9.2,668531,142967,,0.214,360,138,41,5,1
1293839,9.1,932104,173285,,0.186,287,182,54,7,4
27060077,8.9,1609673,389298,,0.242,195,232,91,20,3
1291548,9.2,705308,168551,,0.239,299,173,50,21,5
1418019,9.4,425913,54155,,0.127,378,113,20,2,2
1291571,9.1,828684,125081,,0.151,291,154,62,18,1
1291843,9.1,821104,135712,,0.165,333,164,39,7,2
1299131,9.3,539036,67581,,0.125,301,165,53,12,4
1301753,9.1,819749,104289,,0.127,309,161,53,5,2
21937445,9.2,579055,127827,,0.221,282,182,66,6,1
1291818,9.2,607112,152724,,0.252,358,172,14,2,0
1306029,9.1,753911,141573,,0.188,301,177,35,2,4
1485260,9.0,963786,186927,,0.194,249,189,79,10,0
3008247,9.2,550262,123448,,0.224,243,210,71,8,2
1900841,9.2,553406,130231,,0.235,358,157,12,2,3
1292220,8.9,1086282,287545,,0.265,289,161,62,23,7
1293350,9.1,584456,123150,,0.211,350,156,33,3,2
1292402,8.9,955461,181934,,0.19,277,191,40,14,10
1294408,9.1,588909,83136,,0.141,331,165,35,6,1
26580232,8.8,1230217,291616,,0.237,157,226,137,10,6
1652587,8.8,1393927,268645,,0.193,298,159,60,16,3
1292849,9.1,634127,86654,,0.137,289,205,40,10,6
1292224,9.1,536955,110536,,0.206,212,81,39,8,1
1303021,9.2,402419,89761,,0.223,339,166,28,8,1
3011235,9.0,811049,141641,,0.175,265,151,63,6,4
1293544,8.9,868571,137814,,0.159,252,211,65,7,5
2334904,8.9,952669,175292,,0.184,207,219,91,9,1
1292000,9.0,829652,175585,,0.212,346,127,58,9,2
11525673,8.9,907168,218455,,0.241,281,169,61,21,7
1292343,8.9,917205,168538,,0.184,273,201,59,5,5
1780330,8.9,839564,164210,,0.196,297,182,42,4,4
3442220,9.3,352523,83124,,0.236,385,89,44,5,8
1291543,8.8,1094164,134192,,0.123,402,114,26,3,4
1292656,8.9,693287,133579,,0.193,262,193,55,10,2
1292262,9.2,403594,89802,,0.223,333,139,38,17,12
1291832,8.9,816178,162696,,0.199,273,177,78,8,2
1292679,9.0,619494,138866,,0.224,355,153,27,5,2
1291544,8.9,706626,79539,,0.113,198,241,79,21,2
1294371,9.3,293698,49247,,0.168,367,150,18,4,0
5322596,9.0,578622,160868,,0.278,277,185,45,12,0
1302425,8.8,948390,144331,,0.152,275,207,47,8,10
1297192,8.9,803980,156865,,0.195,219,242,71,10,5
1292223,8.8,926329,148285,,0.16,275,177,70,12,4
1300299,8.9,695105,142465,,0.205,285,194,51,11,3
1865703,9.1,450420,117182,,0.26,284,199,45,2,3
1298070,8.8,839654,93797,,0.112,221,214,95,9,3
1296996,8.8,733929,74600,,0.102,122,244,132,20,5
6985810,9.1,380362,112125,,0.295,300,168,41,7,25
1787291,8.9,691518,195049,,0.282,276,156,62,16,8
10777687,8.9,546108,121182,,0.222,176,212,114,32,6
1292434,9.1,380739,119323,,0.313,401,93,28,11,6
1306249,8.7,1054697,113670,,0.108,163,257,76,10,8
26799731,8.9,705599,213182,,0.302,217,164,89,45,24
1418834,8.8,695568,140219,,0.202,254,179,65,9,6
1292370,8.7,1018765,166262,,0.163,273,191,71,9,3
1294639,8.9,551372,97354,,0.177,248,199,76,10,4
2149806,8.9,650885,145442,,0.223,265,187,77,15,6
1296339,8.8,664142,176929,,0.266,273,171,69,18,8
1297630,8.9,544327,119328,,0.219,240,165,57,0,0
1291999,8.8,792584,177910,,0.224,181,104,18,6,3
3395373,8.8,704016,144599,,0.205,115,126,54,10,2
1297359,8.9,512634,80898,,0.158,280,198,55,9,4
11026735,8.7,990427,191911,,0.194,72,200,130,105,21
1293359,8.9,582358,149798,,0.257,302,182,48,7,7
1291990,8.9,545273,132401,,0.243,318,160,48,11,7
1305164,8.9,535312,133126,,0.249,330,179,25,5,6
1292215,8.7,944384,192486,,0.204,293,176,57,13,5
1291875,8.9,603006,114973,,0.191,288,180,43,14,14
25814705,9.0,417256,111067,,0.266,202,239,70,20,3
1300992,9.1,307600,76912,,0.25,257,198,46,7,3
4202302,8.9,540644,109117,,0.202,215,222,85,9,0
1292337,9.1,311048,91960,,0.296,332,164,28,11,10
21318488,8.7,913729,239345,,0.262,195,202,68,14,4
1297447,8.8,720698,109758,,0.152,128,102,20,6,0
25814707,9.0,372613,88645,,0.238,3,9,4,2,2
27010768,8.8,1341091,348896,,0.26,126,145,103,29,17
1297052,8.9,452039,102696,,0.227,280,198,63,5,0
10577869,8.8,647823,175386,,0.271,191,192,123,30,5
1292274,8.8,557066,103414,,0.186,217,225,79,19,5
2353023,8.8,741097,119919,,0.162,270,197,57,4,2
1294240,9.0,364799,48727,,0.134,244,206,68,8,4
5989818,8.9,525216,115529,,0.22,227,211,79,12,3
26628357,8.9,464942,128416,,0.276,183,227,99,16,4
1395091,9.1,321893,85261,,0.265,315,164,29,2,3
1291579,8.8,654206,84529,,0.129,277,210,51,7,1
1309055,8.8,640081,66527,,0.104,108,227,162,35,1
1858711,8.9,502879,87370,,0.174,365,143,32,4,0
1418200,8.7,778798,169613,,0.218,167,210,108,28,6
25986180,8.6,1173825,260743,,0.222,93,248,152,33,15
3287562,8.7,930014,136335,,0.147,211,201,104,21,0
3072124,9.0,416313,115195,,0.277,330,154,35,10,1
10437779,8.9,419075,100289,,0.239,161,253,106,15,2
6307447,8.8,595949,136179,,0.229,185,244,90,15,6
4268598,8.8,661145,181830,,0.275,264,149,65,38,22
1291545,8.8,558748,123554,,0.221,297,191,40,6,5
1307315,9.2,252986,34831,,0.138,344,151,40,3,3
1316510,8.7,623285,112463,,0.18,306,120,53,16,12
4917726,8.8,582417,143667,,0.247,246,221,46,11,3
4920389,8.7,1341640,340200,,0.254,223,181,95,30,11
1303037,9.0,352577,87742,,0.249,291,215,24,12,6
1306861,9.0,331065,75007,,0.227,268,198,70,7,3
10463953,8.8,633215,142674,,0.225,185,221,121,12,3
21360417,8.7,639428,142368,,0.223,231,232,57,11,2
26325320,8.7,769951,180294,,0.234,153,224,120,33,11
1291557,8.7,592046,131662,,0.222,280,193,49,19,3
1297518,8.7,657608,66977,,0.102,205,259,65,7,2
1295399,9.3,193062,45762,,0.237,408,112,22,4,2
1461403,9.5,135604,38391,,0.283,359,134,18,4,1
10533913,8.8,596478,141227,,0.237,296,161,69,7,5
1828115,8.6,778822,148273,,0.19,327,156,42,7,7
1302467,8.8,438061,49801,,0.114,209,207,104,10,5
1293181,9.0,283945,71640,,0.252,327,182,31,5,0
1417598,8.8,519853,93682,,0.18,210,223,72,4,2
26611804,8.7,805500,200914,,0.249,245,193,61,28,10
1793929,8.8,443811,94802,,0.214,205,282,53,7,1
1907966,8.7,822920,164555,,0.2,254,215,69,6,0
25917973,8.7,507982,135150,,0.266,154,269,77,24,6
1291822,8.9,322845,61659,,0.191,271,217,45,11,1
1292208,9.0,296321,58636,,0.198,329,180,32,1,1
1578507,8.8,409396,56756,,0.139,260,197,49,6,3
1297574,8.6,527068,83351,,0.158,230,217,75,9,6
1295409,8.8,415310,78501,,0.189,256,209,61,14,4
26683290,8.5,1376017,333133,,0.242,175,180,154,19,6
1291585,8.9,348057,53766,,0.154,252,202,79,6,0
25895901,8.8,437180,136994,,0.313,187,234,76,29,14
10808442,8.9,390304,109126,,0.28,304,176,39,13,10
1300374,8.9,321256,59949,,0.187,245,189,82,19,6
1304447,8.7,589386,122813,,0.208,265,194,69,9,7
3792799,8.7,566655,136889,,0.242,235,182,86,24,5
1959195,9.2,190982,34723,,0.182,214,219,97,7,1
24750126,8.8,434380,119341,,0.275,211,258,59,9,0
1862151,8.6,802510,104503,,0.13,184,238,85,5,0
1293460,9.1,218536,54125,,0.248,283,143,29,0,0
27622447,8.7,798464,205559,,0.257,114,114,23,6,12
25773932,8.7,575010,151777,,0.264,188,185,59,65,38
6534248,8.7,525427,107212,,0.204,221,188,118,16,2
1292226,8.9,316424,98474,,0.311,364,97,48,14,4
1307856,9.5,126659,40527,,0.32,361,151,26,6,0
2209573,8.6,732841,106843,,0.146,197,217,108,11,1
27119724,8.7,983854,264457,,0.269,190,135,117,57,33
1307106,8.7,464958,70968,,0.153,249,217,66,9,2
1291578,8.6,600130,58711,,0.098,160,175,93,12,2
1292328,8.6,566204,97866,,0.173,176,88,33,9,2
3011051,8.5,840489,180448,,0.215,16,12,11,0,0
24733428,8.7,952715,351870,,0.369,251,160,96,27,6
1292401,8.6,721172,189985,,0.263,255,171,76,24,13
1292329,8.9,290131,77232,,0.266,389,95,35,20,3
4848115,8.9,326654,90473,,0.277,259,187,69,8,1
1867345,8.7,448022,96256,,0.215,173,229,117,16,0
1307811,8.7,448598,71087,,0.158,201,250,79,4,1
1310177,9.0,221530,64797,,0.292,233,218,66,3,1
1978709,8.6,768470,172818,,0.225,23,26,10,1,0
27059130,8.7,442108,120506,,0.273,206,230,76,17,13
1308857,8.9,296808,55031,,0.185,258,170,73,8,4
1293908,9.3,142208,30320,,0.213,354,158,26,4,0
1291870,8.7,396172,66660,,0.168,225,249,60,2,3
3075287,8.5,818780,168196,,0.205,190,267,69,10,4
1309163,8.6,656333,160180,,0.244,172,212,115,18,6
25980443,8.6,519703,165645,,0.319,241,216,61,15,2
4739952,8.5,965957,233649,,0.242,150,226,98,22,4
1302827,8.7,435476,95508,,0.219,228,212,93,7,0
1296909,8.9,250631,48895,,0.195,260,195,74,6,5
5300054,8.6,589507,171830,,0.291,134,151,117,44,8
1303394,8.6,512299,97407,,0.19,248,215,58,18,2
1291844,8.8,334652,39206,,0.117,316,173,39,2,1
1293318,8.7,398891,82261,,0.206,48,34,22,3,8
1291879,8.8,307049,71219,,0.232,291,204,39,7,5
3592854,8.7,515432,130349,,0.253,281,156,43,37,7
1292287,8.7,433227,65901,,0.152,270,227,49,6,2
1300117,8.8,289356,76739,,0.265,263,214,58,4,0
26787574,8.6,542964,144929,,0.267,144,280,115,6,4
1438652,8.6,464250,98195,,0.212,227,216,82,15,6
1959877,8.6,481523,97687,,0.203,121,244,150,14,5
26430107,8.7,287279,77882,,0.271,253,137,90,27,10
25807345,8.5,562871,142057,,0.252,153,228,98,37,14
1291992,8.9,244077,68933,,0.282,304,195,39,9,1
1304141,8.7,397658,47441,,0.119,149,239,126,9,4
1428175,8.7,371981,59626,,0.16,189,275,75,5,1
25724855,8.8,363045,91403,,0.252,194,228,81,15,3
25934014,8.4,871843,284034,,0.326,198,144,115,61,18
34874432,8.6,589844,234921,,0.398,147,217,125,38,10
2222996,8.8,272992,84102,,0.308,337,177,24,6,6
1419936,8.7,360005,54092,,0.15,218,224,62,6,1
1293964,8.8,272146,56113,,0.206,220,228,83,5,3
25864085,8.5,709940,160857,,0.227,153,252,114,18,3
1308767,8.7,344360,42631,,0.124,139,280,100,11,2
2051007,8.5,556193,78435,,0.141,86,225,160,48,11
1307394,8.8,258679,81593,,0.315,271,180,64,13,5
1297880,9.3,128968,39935,,0.31,375,146,19,4,1
1295865,8.8,280979,64792,,0.231,276,171,68,13,16
1305690,8.5,499834,110688,,0.221,198,255,64,6,4
3552028,8.7,298730,68697,,0.23,151,227,132,16,1
1304102,8.6,415940,62467,,0.15,100,228,125,11,2
2213597,8.6,446986,84805,,0.19,199,191,56,10,3
6874403,8.6,419194,119755,,0.286,150,230,113,20,2
1760622,8.5,534889,117977,,0.221,224,221,71,15,5
3443389,9.1,154801,45887,,0.296,279,170,66,7,0
1457217,8.5,548023,59565,,0.109,58,170,227,55,7
1937946,8.6,374600,87224,,0.233,236,211,70,6,12
2363506,8.9,201113,51297,,0.255,231,209,89,15,1
