,id,title,score,stars,content
0,1292052,肖申克的救赎,4,4078,人的生命不过是从一个洞穴通往另一个世界..然后在那个世界的雨中继续颤抖.i hope
0,1292052,肖申克的救赎,5,20829,当年的奥斯卡颁奖礼上，被如日中天的《阿甘正传》掩盖了它的光彩，而随着时间的推移，这部电影在越来越多的人们心中的地位已超越了《阿甘》。每当现实令我疲惫得产生无力感，翻出这张碟，就重获力量。毫无疑问，本片位列男人必看的电影前三名！回顾那一段经典台词：“有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！”
0,1292052,肖申克的救赎,5,34083,不需要女主角的好电影
0,1292052,肖申克的救赎,5,22749,恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》
0,1292052,肖申克的救赎,5,11096,"“这是一部男人必看的电影。”人人都这么说。但单纯从性别区分，就会让这电影变狭隘。《肖申克的救赎》突破了男人电影的局限，通篇几乎充满令人难以置信的温馨基调，而电影里最伟大的主题是“希望”。当我们无奈地遇到了如同肖申克一般囚禁了心灵自由的那种囹圄，我们是无奈的老布鲁克，灰心的瑞德，还是智慧的安迪？运用智慧，信任希望，并且勇敢面对恐惧心理，去打败它？经典的电影之所以经典，因为他们都在做同一件事——让你从不同的角度来欣赏希望的美好。"
0,1292052,肖申克的救赎,5,16908,策划了19年的私奔……
0,1292052,肖申克的救赎,5,12375,关于希望最强有力的注释。
0,1292052,肖申克的救赎,5,12452,有种鸟是关不住的.
0,1292052,肖申克的救赎,4,2472,"Hope is a good thing, and maybe the best thing of all."
0,1292052,肖申克的救赎,4,725,不愧是好莱坞大片，一环扣一环，没想到最后不但逃生生天还偷偷把典狱长的贪污转移了出来，证据也送达了出去，帮助了曾经关心过自己的人，情节安排的巧妙，演员演绎的也好，是美国的，有爱国情节的我给打四分
0,1292052,肖申克的救赎,4,463,绝对是期待过高导致有点失望
0,1292052,肖申克的救赎,5,6883,"超级喜欢超级喜欢,不看的话人生不圆满."
0,1292052,肖申克的救赎,5,4465,"Fear Can Hold You Prisoner, Hope Can Set You Free"
0,1292052,肖申克的救赎,5,5348,这样的男人谁会舍得背叛。。。
0,1292052,肖申克的救赎,5,4719,"一部没有爱情与美女的电影,却光芒四射"
0,1292052,肖申克的救赎,5,2706,没有人会不喜欢吧！书和电影都好。
0,1292052,肖申克的救赎,5,1469,“你知道，有些鸟儿是注定不会被关在牢笼里的，它们的每一片羽毛都闪耀着自由的光辉。”一部经得起时间检验的电影，豆瓣、时光网、IMDb各大电影网站都排名第一的电影。
0,1292052,肖申克的救赎,5,1048,因为1994年台湾引进了一部比较卖座的老片The Sting，被错译成了《刺激》。到了1995年本片上映时，片商觉得其剧情与《刺激》有类似的地方（大概都属于高智商的复仇？），因此被译成了《刺激1995》，1998年又有一部片子Return To Paradise因为含有牢狱情节，被译成《刺激1998》！
0,1292052,肖申克的救赎,5,1412,一部没有女主，没有爱情，没有特技的好片子，也是很多大学英语老师喜欢放给学生看的片子，这部片子讲诉的就是一个很纯粹的故事，一次的救赎，换回了自由，也是一种信念驱使他这么做，这部片子是感人的，它也让很多人成长。
0,1292052,肖申克的救赎,5,1446,还记得老brooks上吊自杀时心里有多难过。自由来的太晚，生命早已自行放弃。
0,1292052,肖申克的救赎,2,2181,真的不喜欢，不好看，没感觉
0,1292052,肖申克的救赎,5,1339,这部电影没什么好说的，史上最完美的电影，没有一秒尿尿时间！
0,1292052,肖申克的救赎,5,1447,对不起，我戒酒了。
0,1292052,肖申克的救赎,5,1192,hope is a good thing
0,1292052,肖申克的救赎,5,1194,越狱我感觉就是改编自这个
0,1292052,肖申克的救赎,5,795,肖申克中生存体制又如当今社会体制，“痛改前非”的人一次次被重新投入黑暗之中，当权者干着肮脏的勾当却会在公众面前宣讲“拯救之道”，似乎只有当性格没有棱角，思想失去火花，被“体制化”的人们习惯逆来顺受的时候才可以平安生存
0,1292052,肖申克的救赎,5,794,这是我每年都要回顾的一部片子，每当心情低落，人生低谷的时候，或者随便什时候打开，听着摩根弗里曼低沉的声音娓娓道来故事，就会感觉好了很多。好的电影是好的人生陪伴
0,1292052,肖申克的救赎,3,2371,"在我的心目中,它一直都是最被高估的电影。"
0,1292052,肖申克的救赎,5,1052,明修栈道，暗渡陈仓
0,1292052,肖申克的救赎,5,906,看完让人很振奋
0,1292052,肖申克的救赎,5,333,好片，但是远比这部片更好的还很多，大家整天把这部电影稀奇得不行，其实同年的电影我更喜欢阿甘。
0,1292052,肖申克的救赎,5,515,何为救赎？只有重燃人们心中的希望才能救赎。有希望才有一切可能。即使环境再恶劣，安迪都没有放弃，坚持不懈的写信为大家换来更好的图书馆，帮助有需要的人拿到高中文凭使他们可以在社会上有生存能力，就算知道会惹怒看守也想让人们都听到美妙的歌声，点燃希望之光。有一种鸟儿是永远也关不住的。
0,1292052,肖申克的救赎,5,518,若你试自由如生命，你愿意用20年等来一日的逃脱。
0,1292052,肖申克的救赎,5,244,怒赞，很难有一部电影能比《肖申克的救赎》更好的诠释梦想与救赎这两个词的关联，电影予人带来心理的洗涤震撼是如此深刻，对比安迪，我们生活中看似无以能迈不过的坎又算什么？当你若能一直心拥梦想，哪怕失败，也定能获得希望的救赎。 
0,1292052,肖申克的救赎,2,887,大众经典我从不感冒，为什么？我欣赏水平不行？
0,1292052,肖申克的救赎,5,516,太感人的电影！完整看过四遍！安迪从下水道爬出后，在水里在雨中仰天长啸时，就瞬间泪奔！
0,1292052,肖申克的救赎,5,183,发现自己最近真的是愿意回看经典 尤其是没有女主的经典 自由与希望 多么美好的词汇 可是一个迂腐的人现在才体会到 这两个词如果一年前对我提起 那么我会表示鄙夷 会觉得这两个词太虚无缥缈 假大空 而现在 如果你向我提起 那么我会说 我爱自由和希望
0,1292052,肖申克的救赎,5,452,这是一部关于自由、友情、正义的电影!“信念不灭，希望永存”。这其实是他们全体人的救赎，只是选择的方式不同而已。
0,1292052,肖申克的救赎,5,255,高中第一节心理课。“有一种鸟是关不住的，因为它们的每一片羽毛都闪耀着自由的光辉”，但后来不幸成了我的逆反宣言……哈哈哈。
0,1292052,肖申克的救赎,5,625,我最喜欢的电影
0,1292052,肖申克的救赎,4,419,通过下水道逃出去，这真的是太震撼了，不得不说男主对自由的执念克服了一切，即使待在监狱里，因为不断学习，没和外面的世界脱轨，他才能如此从容面对一切，甚至即使是在监狱这小小世界里自己也是主宰，所以说：学习很重要，学到老活到老。
0,1292052,肖申克的救赎,5,175,非常好，可惜那年有阿甘正传，但我个人认为还是这部最佳。
0,1292052,肖申克的救赎,2,871,有那么好吗？？？？？
0,1292052,肖申克的救赎,5,313,不多说了
0,1292052,肖申克的救赎,4,172,救赎什么？灵魂？自由？信念？你看看这部电影就有体会了
0,1292052,肖申克的救赎,5,130,很久之前看的了，印象深刻的是一位老人在出狱后不知道如何生活了，外面的一切都是他所不熟悉的，无法正常的工作，交流，生活。最终选择结束了自己的生命。习惯真的是一种极其强大的可怕的力量！
0,1292052,肖申克的救赎,5,109,几年前被母亲推荐看的，她很推崇，看过后感觉可以，黑暗是每个国家都存在的，总的来说希望好人一生平安！
0,1292052,肖申克的救赎,5,319,习惯了监狱生活而接受不了正常生活的人，既真实又恐怖。勇敢面对生活，逃离自己的舒适区。
0,1292052,肖申克的救赎,2,406,有点好奇这部片为何被过度赞誉到这个地步···
0,1292052,肖申克的救赎,5,108,我发现影史顶尖的作品，都反映了人的执念，一种笃定一切的意志力，这种意志不被人理解，但让人佩服，因为大多数人不敢付出这样的代价，他们不敢相信这一切的价值。自由和希望，就是每个人活着的一根弦，绷着就能生，断了就得死。所以“要么忙着去活，要么忙着去死”，在于选择。如果你愿意相信自己会是那只光彩夺目的鸟，那你就不可能被困在牢笼之中，因为安迪的牢笼是他自己打开的。
0,1292052,肖申克的救赎,5,131,#重看#@影城；超越年代的“主流心灵鸡汤”依然灌得眼泪直冒；世上本无希望，若我多行一步即是希望，在绝望黑暗处生出倔强微光，卡夫卡式的悖论；每人都背负着有形无形的肖申克，注定无法被囚禁的鸟儿一定会挣脱桎梏，天才善于做梦；类型片元素大集成，充满匠气的完美作品。
0,1292052,肖申克的救赎,5,95,2008年11月28日，第一次看肖申克。那时候观影量还不到五百吧。给五星是见识浅。现在差不多九年过去，我在豆瓣标注看过的已经超过三千，第二次看，还是给了五星。它当然不是最好的片，但是太滴水不漏了。
0,1292052,肖申克的救赎,5,157,自我救赎才是唯一的出口。感叹于知识改变命运啊。
0,1292052,肖申克的救赎,5,463,酣畅淋漓
0,1292052,肖申克的救赎,5,98,二十岁以为自己是在外边看，四十岁才明白自己是在里边看。
0,1292052,肖申克的救赎,5,111,坚持就是胜利啊 最终在墙上弄了个洞
0,1292052,肖申克的救赎,5,62,上个学期全班同学一起看的心理电影，下课了依旧不舍的坐在位置上，盯着那屏幕，看到最后，嗯，他活着出来了。信念，满满的充斥着内心，如果是我，可能早就死在那四面铜墙里了，哪还有后来呢。人生，可能就是这样，总是希望伴着绝望，那要看你是想救赎自己还是了结罢了
0,1292052,肖申克的救赎,5,130,最最最最最好看的电影。没有之一。
0,1292052,肖申克的救赎,5,139,任何时候，都不要放弃希望。
0,1292052,肖申克的救赎,5,66,电影很励志，感悟很深，最主要的是让我学会坚持，送给在生活中遇到挫折的人！
0,1292052,肖申克的救赎,5,95,人性伟大，会软弱，但更多的是坚韧
0,1292052,肖申克的救赎,5,75,经典，很久以前看的了。人活着就得有希望。
0,1292052,肖申克的救赎,5,230,任何时候都要坚持，坚持就会成功的，但现实能一直坚持的人是少的。值得一看
0,1292052,肖申克的救赎,5,183,要么忙着活 要么忙着死 人应该对现有生活保持乐观的心态 充满希望 学会享受 而不是得过且过 苟且偷生 这种人生还有什么意义呢？还不如趁早去死 活着也是浪费资源
0,1292052,肖申克的救赎,5,60,“人活着得有希望”，一点都没有错，当老布自杀的时候我在想他应该回到监狱里度过剩余的日子，可是当安迪终于出去的时候又是那么美好，人啊真的得有希望才能快乐勇敢的活下去。当我失意的时候就想起这个片子，想起他那么努力想尽办法的脱身，觉得我一定也可以冲出重围重新站起来，真的太励志了。
0,1292052,肖申克的救赎,2,178,虚假的巧合被当作精妙对比，突兀的后果往往使人惊叹而不是受启发，脱离过去过于决绝。
0,1292052,肖申克的救赎,5,114,真正的救赎从来不是词汇意义上的“彻底改造”，而是在历经劫难、遗失人生重要年华过后依然渴求灵魂与躯体的自由和无上美好的希望
0,1292052,肖申克的救赎,2,124,史上最有名的烂俗励志片，没有之一
0,1292052,肖申克的救赎,2,36,这部标记排名第一的电影被越来越体制化的大众标记为需求，但那虚构的希望恐怕是个偌大的笑话。根深蒂固的资本原则在被掌权者剥夺权利的《第七大陆》上呈现出多端的众生相，资本积累成了人们重返自由和尊严彼岸的唯一途径。因此《肖申克的救赎》最终是代表统治阶级的救赎，它与作为人的人没有任何关系。
0,1292052,肖申克的救赎,5,60,好的电影值得所有人反复观看，这就是一部。
0,1292052,肖申克的救赎,4,117,真的很金典，每个人心里都有渴望不一样的自由，却又不得不被现实生活所束缚，很矛盾的个体，希望每个人能像安迪一样找到获得真正的自由。很喜欢摩根弗里曼
0,1292052,肖申克的救赎,4,161,其实理解不了为什么这部影片会排名第一…
0,1292052,肖申克的救赎,3,128,几年后，五星改成三星。
0,1292052,肖申克的救赎,5,142,这部被称为《刺激1995》的影片在中国影迷间也有极好的口碑，可见电影超越国界的神奇之处。
0,1292052,肖申克的救赎,5,64,"对推上神坛的电影总是莫名恐惧，以致雪藏了多年才看。看完发现它之所以雄踞各类榜首，是因其他至多称作经典，而它却可称作伟大。Fear Can Hold You Prisoner, Hope Can Set You Free .Hope is a good thing."
0,1292052,肖申克的救赎,5,48,看完之后，只觉得烧脑。看第二次，我只觉得男主人太厉害了。
0,1292052,肖申克的救赎,5,50,救赎每次看都有一种新的感觉，没有什么能够形容我对他的崇拜，人生若是真的能自由自在的在日落的时候喝着沁人的冰啤，那该是多么美好啊。
0,1292052,肖申克的救赎,5,54,希望有朝一日中国也能拍出这种有深刻人生内涵的电影
0,1292052,肖申克的救赎,5,44,"一部没有女主,没有爱情的好电影！不可超越的励志佳片，真的很令人感动的美国电影！炒鸡推荐🎉五星绝对的！"
0,1292052,肖申克的救赎,5,58,懦怯囚禁人的灵魂，希望可以令你感受自由，强者自救，圣者渡人。经典
0,1292052,肖申克的救赎,4,115,天下大同。PS：停留在前去相逢的车子远去的背影最好，不必拍出重遇和相拥。
0,1292052,肖申克的救赎,5,33,精彩，永远别放弃，即使要很久以后才会成功。每天努力一点点，坚持不懈，总会有收获。
0,1292052,肖申克的救赎,5,48,总觉得美国大片更容易直面人性，直面真实的社会。
0,1292052,肖申克的救赎,5,122,最后那一瞬间啊  
0,1292052,肖申克的救赎,5,65,重看次数最多的电影
0,1292052,肖申克的救赎,5,40,真的好好看呀，对得起它那么高的评分，我要找小说来看一遍了
0,1292052,肖申克的救赎,5,94,要么忙着活，要么忙着死。
0,1292052,肖申克的救赎,5,41,很经典的电影，也很励志，人不管身处何种境地永远不要放弃希望
0,1292052,肖申克的救赎,5,45,天知道第几次重看。它最伟大可贵的地方大概一方面是多层次嵌套的丰富主题，另一方面则是一种内在的timeless品质和情感表述，因此无论观众身处哪个时代，来自何种背景，抱持怎样的心理状态，都能够有效甚至不由自主地relate其中的某个角色或某段情节。
0,1292052,肖申克的救赎,5,138,几年前看的，看完之后挺久了才回神，第一次因为看了一部电影反思自己。是我心中电影的第一名～
0,1292052,肖申克的救赎,4,111,经典老电影就是不一样，重温了无数遍呢
0,1292052,肖申克的救赎,5,36,我以为是个压抑影片，最后，我发现了希望的光。hope，谁也无法夺走，谁也无法消灭。这部影片，值得一看。
0,1292052,肖申克的救赎,5,80,"Hope is good thing, and is everything. "
0,1292052,肖申克的救赎,5,24,"It takes a strong man to save himself, and a great man to save another. "
0,1292052,肖申克的救赎,5,143,人的信念真的太强大，只要想做，而且坚持，总有一天会实现。知识的力量也是很强大的。看完这部电影，感觉自己又对美好的生活充满了向往。
0,1292052,肖申克的救赎,3,63,好看但这么高的分有点假了吧，如果和越狱比起来，还是越狱好看些！
0,1292052,肖申克的救赎,5,49,《肖申克的救赎》中安迪的扮演者蒂姆·罗宾斯说：“这部电影传达的是长久赛，而不是即时的满足。很多人感觉被困在了自己的生活中，因为一个糟糕的工作，或者相处不愉快的伴侣，或者其他随便一个什么原因。从隐喻层面上看，电影向这些人诉说了一个理念，就是对于所有人来说，总有一处理想之地在等着你，终有一刻，你会达到那里。”
0,1292052,肖申克的救赎,5,49,绝望里长出的希望能带来无限的勇气
0,1292052,肖申克的救赎,5,39,非常触动人心的经典
0,1292052,肖申克的救赎,3,25,当然是一部好电影，但他现在已经被物化成的最廉价的鸡汤。如果最顶级的电影就是这样的话，那电影这门事物真的是太让人失望了，也完全算不上艺术。不过万幸的是它不是最好的电影，它只不过是最烂大街的好电影。 幸亏有更好的电影更有理想和艺术追求的电影在捍卫的电影在艺术造诣方面的底线和天花板，才让电影没有在一片营销号的鸡汤中沦落为最廉价的网络谈资和消费品。
0,1292052,肖申克的救赎,5,49,绝望里长出的希望能带来无限的勇气
0,1292052,肖申克的救赎,5,39,非常触动人心的经典
0,1292052,肖申克的救赎,4,38,肖申克的救赎，这部电影很好看，值得推荐
0,1292052,肖申克的救赎,5,26,很久以前就想看这部剧，今天终于看了。最震撼的就是安迪越狱的那一段，无论是配乐还是色彩或是安迪的动作神态，都掌握的很好！从此以后，他再也不用承担本不是他的惩罚，他，终于自由了！
0,1292052,肖申克的救赎,4,35,好多感受不能用语言表达，世界很糟糕也很美好，坚持才有希望
0,1292052,肖申克的救赎,5,33,很难有一部电影能比《肖申克的救赎》能更好的诠释梦想与救赎这两个词的关联和真谛，电影予人带来心理的震撼与洗涤从未如此的深刻，主角安迪与男二黑人瑞德主辅相成的两条脉络营造了一个关乎追梦自由和心灵救赎最好的诠释，生活其实本就一直有着梦想，哪怕失败，只要能心拥梦想，便定能获得希望的救赎。
0,1292052,肖申克的救赎,2,36,这部标记排名第一的电影被越来越体制化的大众标记为需求，但那虚构的希望恐怕是个偌大的笑话。根深蒂固的资本原则在被掌权者剥夺权利的《第七大陆》上呈现出多端的众生相，资本积累成了人们重返自由和尊严彼岸的唯一途径。因此《肖申克的救赎》最终是代表统治阶级的救赎，它与作为人的人没有任何关系。
0,1292052,肖申克的救赎,5,32,懦怯囚禁人的灵魂  希望让人自由 强者自救  圣者渡人 
0,1292052,肖申克的救赎,5,69,你知道，有些鸟儿是注定不会被关在牢笼里的。
0,1292052,肖申克的救赎,5,75,我想打100分，最大的感受除了，知识真的可以改变命运。还有要永远热爱生活。hope is  good thing.
0,1292052,肖申克的救赎,3,25,当然是一部好电影，但他现在已经被物化成的最廉价的鸡汤。如果最顶级的电影就是这样的话，那电影这门事物真的是太让人失望了，也完全算不上艺术。不过万幸的是它不是最好的电影，它只不过是最烂大街的好电影。 幸亏有更好的电影更有理想和艺术追求的电影在捍卫的电影在艺术造诣方面的底线和天花板，才让电影没有在一片营销号的鸡汤中沦落为最廉价的网络谈资和消费品。
0,1292052,肖申克的救赎,5,27,影响自己人生观的一部电影，距离斯蒂芬·金（Stephen King）和德拉邦特（Frank Darabont）们缔造这部伟大的作品已经有十年了。我知道美好的东西想必大家都能感受，但是很抱歉，我的聒噪仍将一如既往。在我眼里，肖申克的救赎与信念、自由和友谊有关。
0,1292052,肖申克的救赎,5,27,看到豆瓣排名第一，很好奇去看了这部电影，印象最深的就是图书馆的老爷爷坐50年牢出狱后因为适应不了外面的生活选择上吊自杀，最后男主获得自由，瑞德和男主在海边相遇很暖
0,1292052,肖申克的救赎,5,16,朋友在你的生命中进进出出，好像餐厅中的侍者来来去去一样。可是每当我想起那场梦、想到那两具尸体正用力拖我下水的时候，我就觉得这样也好。有的人会沉沦，如此而已，并不公平，但世事就是这样，有的人会沉沦下去。希望还是要有的，没了希望，怎么行
0,1292052,肖申克的救赎,5,18,重温，时间只是好电影的又一个证明。二十年前的经典，二十年后还是，同样的题材，有的过去能做到，有的今天也无法领悟，这就是差距。当故事最后两个老友在蔚蓝大海边重聚拥抱的时候，希望，是最好的，美好的事永不消逝。有人问，为何肖申克的救赎备受推崇。因为这部电影并不是在讲越狱，也可以这样说，它不是为了讲越狱。人活在这个世界，或多或少都会如同片中所述，经历“体制化”，磨难，逐渐麻木，看不到希望，如老布。而这部电影最终告诉你，哪怕过去20年、30年、40年，有希望，就会有美好的事，如安迪和瑞德。观众看完这部电影，内心会跟着这部电影走过一个由绝望到希望的历程。这是一场心灵的救赎，是对观众的。这是肖申克的救赎的伟大之处。
0,1292052,肖申克的救赎,5,30,太经典了！值得反复推敲，每看一次都能得到新的体悟！
0,1292052,肖申克的救赎,5,66,一个内心坚强有信念的人
0,1292052,肖申克的救赎,5,29,印象很深的一部电影，虽然很绝望，但永远不要放弃希望。
0,1292052,肖申克的救赎,5,30,电影塑造了一个充满希望，向往自由的男主人公形象。在身边的人都变得体制化之后，只有他是怀有希望之人。小说里面出现过两个人的旁白，一个是男主的好朋友，一个是看守图书馆的人，以这种别人的视角来诉说，更给人一种悬疑感和真实感。
0,1292052,肖申克的救赎,4,30,这个电影包含了友谊，艰辛，希望和梦想。之所以它获得了成功因为它感动了你，它给了你希望给了你启示！
0,1292052,肖申克的救赎,5,32,"2002.3.3 DVD 2007.7.27 DVD home2008.8.2  CCTV6"
0,1292052,肖申克的救赎,4,56,整部电影有点像爽剧，给我的最大感受不是自由真好，而是脑子聪明真好。Andy越狱后的一切过于完美，以至于在最后一幕，当蓝得不真实的大西洋出现时，我一度怀疑这一切都是Red老头的美好幻想——其实Andy已经精神崩溃，或者越狱的时候被击毙。而他照例无法被保释，老死在监狱。人生最后的日子里，为了消磨时光，在脑海里编一些不一样的结局，弥补今生的遗憾。     然而，既然这部电影一直强调“希望是个好东西”，所以行吧，来点儿积极的：祝我们不满足于肖申克的冷啤酒、音乐和图书馆，而是走出墙外，一直往大西洋走去。祝我们有智慧和勇气踏上一条充满不确定性的自由之路。祝我这条影评别给我惹来麻烦。
0,1292052,肖申克的救赎,3,17,该影视简介由豆瓣网专职人员撰写或者由影片官方提供，版权属于豆瓣网，未经许可不得转载或使用整体或任何部分的内容。20世纪40年代末，小有成就的青年银行家安迪（蒂姆·罗宾斯 Tim Robbins 饰）因涉嫌杀害妻子及她的情人而锒铛入狱。在这座名为肖申克的监狱内，希望
0,1292052,肖申克的救赎,4,31,不管怎么说，真的很佩服男主的毅力，在那样的情况下一直没有迷失自己，追求自己向往的自由。
0,1292052,肖申克的救赎,5,37,生的酣畅淋漓。
0,1292052,肖申克的救赎,5,30,最后奔跑拥抱那里真的好感动。
0,1292052,肖申克的救赎,5,88,这部片子播后，入狱的场景衍生一系列的同人文，教皇般的典狱长，东西两派，同性狎轧成了美国监狱片少不了的场景。当然被人津津乐道的一个场面是，男主角逃脱出狱后迎着风雨呐喊自由的场景。
0,1292052,肖申克的救赎,5,67,应该再看一遍
0,1292052,肖申克的救赎,5,29,经典老片，一看再看。过几天再把书看一遍！
0,1292052,肖申克的救赎,4,35,不行了，我必须把五星改成四星！没有史蒂芬金的原著，这电影TMD啥也不是！
0,1292052,肖申克的救赎,1,31,我一直不知道该如何形容我对它的感觉，现在终于找到了一个词：最炫民族风。
0,1292052,肖申克的救赎,5,104,这部电影好到，含义深刻到我不敢妄自评价……总之，力荐!
0,1292052,肖申克的救赎,4,37,不够味道。
0,1292052,肖申克的救赎,5,19,"永远不能失去的是希望。一个交心的挚友，一个聪明优秀的人，一份经年不变的毅力，是一只羽翼丰润，带着你的心飞出牢笼寻找希望的鸟儿。Get busy living,or get busy dying."
0,1292052,肖申克的救赎,5,5,縱使《基督山伯爵》與《刺激一九九五》之間，場景與敘事手法的差異可謂不小，《刺激一九九五》卻比很多直接改編自《基督山伯爵》的影劇作品，更能體現《基督山伯爵》的精髓。全文：http://hou26.org/zeta/cristo.htm
0,1292052,肖申克的救赎,5,23,我不断的想要重复一个危机的过程，然后得到一个好的结局。我总是希望有什么事情发生，我总是希望自己被拯救，我总是希望那种排除万难的悲情和成就感。我不知道自己为什么迷恋于挫败的感觉，迷恋于痛苦的感觉，迷恋于万劫不复的结局。 
0,1292052,肖申克的救赎,5,35,隐忍布局与一触即发的翻盘，从讨酒、写信和广播几个事件中便能对男主内敛的思绪窥见一斑，全片除精彩外更多是积压一种对自由的渴望，冲破狭隘牢笼得到海阔天空，结局不甚美好。而片中上吊的老爷子，则是早已磨灭希望的消极典型，意在与男主形成对比。
0,1292052,肖申克的救赎,5,19,今天才看的，很厉害啊……这种片中国……不得不说男主很厉害啊，聪明，机智……有点心疼老布
0,1292052,肖申克的救赎,5,27,所谓造梦，大概就是这样，给人以希望与光明，令人感受到那一种震撼。
0,1292052,肖申克的救赎,5,22,看分数这么高的份上把电影看了一遍，也的确实至名归！一个鲨堡监狱里面的囚犯和官员似乎是我们这个社会的众生相。比如典狱长平时道貌岸然实则不择手段，残酷阴险贪婪…
0,1292052,肖申克的救赎,5,90,恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》
0,1292052,肖申克的救赎,5,20,野心。在那样一种被打倒的人的身上，你能看到的最棒的东西，就是野心，想要好好活，让羽毛闪光的野心。
0,1292052,肖申克的救赎,[NULL],19,原來那個鏡頭是來自這部電影的。總算把imdb最高分的電影看了。但是我的評分就不方便給了。
0,1292052,肖申克的救赎,5,19,善非所善恶非所恶 这个叫肖申克的囚牢里囚禁同化扭曲 安迪说自己运气不好 阴差阳错成为替罪羊 在这所监狱经历绝望 哪怕他有错 也已赎完罪 但是后来的洗黑钱逃税钻法制的漏洞呢 他与瑞德在图书馆的那场对话 他说他会是清清白白 很压抑 本片高潮处 汤姆被枪杀安迪越狱 有的是时间缺的是希望
0,1292052,肖申克的救赎,4,20,监狱是一座有形的束缚，我们的自由更多的是被许多无形的枷锁束缚着，除了要有坚强的意志，聪慧的头脑，你还要有打破各种体制世俗的勇气。当然自由是相对的，没有人能拥有绝对的自由。像安迪一样，他是榜样。
0,1292052,肖申克的救赎,5,38,值得看2遍以上的电影 没看过一定要看
0,1292052,肖申克的救赎,4,28,看的时候生病困囿在医院里，如同监狱，这片子给了我很多阴暗的回忆。可是关于救赎关于信念，给了人启迪。
0,1292052,肖申克的救赎,4,25,男主挺帅挺聪明的，不然怎么能玩越狱。。。
0,1292052,肖申克的救赎,5,29,要么忙着生，要么忙着死。他用一把鹤嘴锄破解了这个古老命题，通往梦想之蓝。
0,1292052,肖申克的救赎,4,22,里面一句很经典的台词，生活不是为了生而活，而是为了活而生。
0,1292052,肖申克的救赎,4,32,在我心里显然不是第一
0,1292052,肖申克的救赎,5,15,I guess it comes down to a simple choice:get busy living or get busy dying. 生命可以归结为一种简单的选择：要么忙于生存，要么赶着去死
0,1292052,肖申克的救赎,4,22,你猜不到的结局…猜不到的惊异…
0,1292052,肖申克的救赎,4,13,这是一个非常感人的故事，关于希望和友谊的力量。与其他类型的电影一样，人们可以知道会发生什么，当然，但是当你看这部电影时你会一次又一次感到惊讶，甚至会落泪。
