,id,title,score,stars,content
0,1292052,肖申克的救赎,4,8,既有对美国司法制度、监狱制度的深度批判，又有对人的坚定信念的无尽赞美，同时也对友情和生命的好处做了深入和形象的阐释和探讨，是一幅有着现实主义的外衣却隐藏着极度浪漫的内核的潇洒飘逸的生命画卷，值得我们珍藏和揣摩一生。
0,1292052,肖申克的救赎,5,4,94年的片子。不管是演员，剧情的发展，后期剪辑，都很流畅啊。看得我再次冒出不要完啊不要完啊的心声。希望是件好事，好事永远不会死亡。我们都以为一切就如此了，却不知道，我们都还可以试着飞翔。
0,1292052,肖申克的救赎,5,6,"some birds aren′t meant to be caged, that′s all. Their feathers are just too bright... Hope is a good thing, maybe the best of things, and no good thing ever dies."
0,1292052,肖申克的救赎,4,5,8.5分，这部95年的时候名气远没有阿甘大，那年看过的电影最喜欢的是这部和《非常嫌疑犯》，现在竟然都进250了，这部貌似还是魁首。看来小众和流行在岁月变迁后也就是一步之遥。个人不认可这部是最好的电影，可以进入经典的范畴，殿堂级还有些距离。大热之后，口碑掺水可以理解，可说不好会挨骂挺奇怪。
0,1292052,肖申克的救赎,3,13,每个人都渴望有自由
0,1292052,肖申克的救赎,4,8,虽然已经看过很多年了， 但是这个影片在心中一直都是一个永恒的存在。没有卿卿我我的爱情，没有兄弟情深，就是一个绅士般的男主一步一步探索真相的历程。其实我最喜欢的是MOGEN FREEMAN，虽然在很多片子里不是主角，但是本身的魅力让人无法忽视。
0,1292052,肖申克的救赎,5,5,人在令人绝望的处境里如何才能守住自己不堕落不迷失，如何能够在逆境里坚定的寻求希望，如何在那么多的打击下不放弃……这部电影一部能够永垂史册的电影，无论隔了多少岁月都可以给人以力量
0,1292052,肖申克的救赎,4,25,骗傻子的励志片
0,1292052,肖申克的救赎,5,1,多年占据top1，果然不无道理。安迪身陷囹圄，漫漫体制十九年，他却能坚持读书，自由之心不为高墙堵断，时刻拥有希望并为之不懈奋斗，这样的人或品质太太珍贵了，提醒自己也要多加勉力。
0,1292052,肖申克的救赎,5,5,87/100 人生就是拥有希望和目标然后去经营，不要老了才去后悔那些没有做的事。
0,1292052,肖申克的救赎,5,3,此片真的非常赞，讲述了一个银行家无辜入狱后扔不放弃人生，在关押的19年中，他在狱中建了图书馆并帮助狱友考取了高中文凭，并最终依靠自己的聪明才智成功逃脱出狱，并把邪恶的狱长和狱警拉下水，用为狱长洗来的钱享受着自己的下半生。Ps.《越狱》从这取材不少吧...
0,1292052,肖申克的救赎,1,30,老套的故事，毫无新意的结尾。肖申克的救赎除了忍辱偷生为了逃跑之外，并没有洗清自己的冤屈，说它是励志片，就有点过了。如果说是对自由的向往，任何一个在牢里被关10年以上的还没麻木的都很渴望自由。
0,1292052,肖申克的救赎,5,5,這是IMDB上評價最高、參與評分網友最多的電影，也是我所看過最好看的電影，此片值得一看再看仔細品味
0,1292052,肖申克的救赎,4,9,恐惧让你沦为囚犯，希望让你重获自由
0,1292052,肖申克的救赎,5,28,是我心中永远的经典，看着安迪获得自由的那一刻太震撼了，那个雨夜永远难忘。
0,1292052,肖申克的救赎,5,6,希望永远是关不住的
0,1292052,肖申克的救赎,3,19,……
0,1292052,肖申克的救赎,5,21,"I guess it comes to a simple choice, get busy living, or get busy dying. "
0,1292052,肖申克的救赎,1,16,电影很好，要客观评价我会给7.5-8分，但是实在理解不了美国人用开跑车海滩游泳重获自由后聚首来诠释救赎，但这和心灵的自由相去甚远，就这个结局不值得被这么捧。我是来拉低平均分的。
0,1292052,肖申克的救赎,3,5,人们说，影片充满希望，所以富有力量；人们说，影片象征光明，所以蕴含价值；人们说，影片代表自由、信念、人性……不一而足，所以，成为经典。我的人生还算一帆风顺，也自觉心态平和自得其乐，所以本就阳光的我并不感动于大家的共识╮(╯▽╰)╭唯有求同存异= =
0,1292052,肖申克的救赎,5,4,生命在于不灭的希望和信念，经典的电影之所以经典，因为他们都在做同一件事——让你从不同的角度来欣赏希望的美好。
0,1292052,肖申克的救赎,4,7,经典的影片，比较感动。看到了希望和美好。很励志，正能量。
0,1292052,肖申克的救赎,4,7,《肖申克的救赎》，这部影片是无数人爱上电影的起由。每一个镜头，每一句对白，每一条韵律，在我看来都是那么完美无缺。
0,1292052,肖申克的救赎,5,6,是执着，是信念，雷雨交加的晚上是自由的呼唤
0,1292052,肖申克的救赎,4,3,话说高一看的，被监狱里三个gay骚扰安迪的场面震撼住，除此之外，人性
0,1292052,肖申克的救赎,4,2,同样讲的也是自由，但是它放在真实的牢房中隐喻体制，简单明了。肖中说飞鸟聪明所以难囚，而阿甘中追逐羽毛的聪明人才是真的不自由。对比两部电影，一个是看得见的牢房，一个是看不见的，其实阿甘讲的更复杂，只是很多人看不到，以为讲故事的是个傻子。
0,1292052,肖申克的救赎,4,3,承载了太多属于影视本身以外的东西，不论是imdb的鹬蚌相争登顶头名，还是因为时代元素而历久弥新从出租市场确定地位（虽然有奥斯卡加持 票房只有不到3k万），它都值得在影史大写特写。但抱歉，作为观众，作为非该时代的非美国观众，个人实在无法打到五星。le trou是最好的越狱题材电影！
0,1292052,肖申克的救赎,4,7,“希望是好事——甚至也许是人间至善。”还有信念、自由
0,1292052,肖申克的救赎,4,9,每个人都有一部不得不看的电影。
0,1292052,肖申克的救赎,5,4,和哥哥一起看的，真的全程聚精会神地在看，好想再和小锅看一次电影
0,1292052,肖申克的救赎,5,3,很多人推荐它的理由只是越狱影视题材始祖和励志片，这真的小看了这部社会学神片！总体性机构的日常运作、心灵的制度化、科层制下case by case review其实是靠随机性来淘汰人等社会学问题，包括identity theft等非社会学的美国社会问题一应俱全。
0,1292052,肖申克的救赎,[NULL],1,"never thought out Shawshank can run out of the jail. At the end of the movie, the escape make me scared about the patience, the plan, the power realization of the dream. Nice for Shawshank, and it's nice for everyone"
0,1292052,肖申克的救赎,4,3,豆瓣Top1慕名而来，看到前面不太感兴趣后半渐入佳境，结局的反转有惊喜，有点受鼓舞，这个故事告诉我人要对未来抱有希望，有勇有谋卧薪尝胆为了目标永不放弃铁棒磨成针梦想或许就会成真。背锅入狱的Andy一直被欺负受尽折磨失去希望，直到他的才能被发现帮官员逃税洗钱得以被利用开始有转折。写6年信终获得想要的书籍预算，反抗命令给监狱播放音乐。给监狱成立开放图书馆，教书给大家考文凭。得知自己被陷害谋杀的真相后想澄清却又被惩罚，小伙被枪杀时太讨厌了。在监狱50年的布鲁斯出狱后无法接受外面的社会却选择了上吊自杀。用十九年时间用小铁锤挖出隐藏在海报下的逃生洞，近20年为自己的越狱准备好了一切，设定好虚拟的社会人身份，准备金钱及跑路路线万无一失。四十年后Red出狱怕是要重演老布的道路时，朋友伸出援手重逢于美丽海边
0,1292052,肖申克的救赎,5,4,经典，看过好几遍，每次都能给我鼓励
0,1292052,肖申克的救赎,5,5,看过两遍了。一条漫长的自由之路、一次灵魂深处的洗涤、一部不朽的励志经典，“希望”遵循神的旨意安睡在内页被挖空的《圣经》里，附着在安迪高大的身躯里，匍匐在500码的下水道里，最后，那条仅有的肮脏之路把安迪送往美丽的新世界。
0,1292052,肖申克的救赎,5,14,无论何种机遇，都不要放弃。请你务必，一而再再而三，三而不竭，千次万次毫不犹豫的救自己于这世间水火
0,1292052,肖申克的救赎,4,7,下到一个蓝光珍藏版，终于和家属完完整整看了一遍，三个小时的片。其实美国电影在价值观上并不难理解，也没有什么复杂暧昧的东西，甚至情节一旦发展到需要一点复杂的地方时，就用梦幻去填充。所以美国主流电影最执着去呈现的，其实是一种有点梦幻的东西，用电影中的词来说，就是hope。但是，你也实在不能说这是一种浅薄。就像瑞德，他其实已经意识到出狱后的生活和牢狱生活在本质上是一样的，不过是从一个围城走向另一个围城，从一种桎梏落入另一种桎梏，所以他去寻找hope，hope是什么？其实就是自主权，安迪一直都没有丧失的是什么？也是自主权。他凿那个洞真的是一直计划着要逃亡吗？我看不见得，他不过是想通过这种方式拥有自主权，自主权就是hope，也就是那一点点梦幻的可能。
0,1292052,肖申克的救赎,5,4,"看到一个在监狱里呆了近一辈子的老人在出狱后却在起室里上吊自杀的情景时，毫不夸张的说，眼泪就这么掉下来了。直到流到嘴里才发现。嗯，不知道为什么会哭，或许只是觉得悲哀，其实人是很容易习惯，也很容易被制度化的。"
0,1292052,肖申克的救赎,4,5,关于希望让人自由的最好的注释，有希望才会有未来，没有希望一切都是空谈
0,1292052,肖申克的救赎,5,1,我终于明白为什么此片口碑如此好了。出色的剧本，巧妙的手法，杰出的表演。黑暗的司法体系差点毁了他的一生。可再高的城墙和牢笼也锁不住一颗充满希望的心，一个满心寻求自由的人。此刻我才发现《费加罗的婚礼》是天籁。被Morgan Freeman和Tim Robbins的演技折服了。
0,1292052,肖申克的救赎,5,7,是的，22年过去，它仍然几乎保持着各种电影榜单的TOP1。而十数年来我始终在「BROOKS WAS HERE」那段被触动到盈泪。巨幕厅杜比克环绕音响下摩根弗里曼的旁白和台词太过让人享受。它永远在我看完提升愉悦度榜单名列前茅！
0,1292052,肖申克的救赎,4,6,不错的电影，一部让人明白，在面对不公和挫折时，只有靠自己的智慧才能真正的救赎自己。
0,1292052,肖申克的救赎,4,21,我知道向往自由是人的本性，在艰苦的环境之中怎样与自己抗争不人云亦云是多么可贵。
0,1292052,肖申克的救赎,4,4,很经典的电影，对于自由的憧憬，执着的希望
0,1292052,肖申克的救赎,5,3,到现在才看这部片子，真是好看没的说。果然，经典的东西不管放到什么时候去看都不会褪色。
0,1292052,肖申克的救赎,4,5,时隔20年，情节已记不完整了，于是为明天早上的电影课而熬夜重看。多么流畅的好莱坞商业片，叙事完整、节奏明快，Red的画外音及旁观讲述者视角更为本片增添了传奇色彩：故事一定要由目击者讲出来才是真正意义上的传奇。十几年的狱中努力，救赎了对自由的渴望，以及对希望的信念。当主人公终于站在了碧海蓝天下，那也是观众体验到自由和希望的时刻。
0,1292052,肖申克的救赎,4,6,非常非常棒，但没有棒到第一的地步。
0,1292052,肖申克的救赎,5,8,经典。
0,1292052,肖申克的救赎,4,6,很精彩也很传奇。
0,1292052,肖申克的救赎,4,10,太经典的电影，多年之前的记忆，执着、希冀和不懈的追逐，心灵的救赎和灵魂的洗礼。
0,1292052,肖申克的救赎,4,5,影响很深刻，很小的时候看的片子，但是我有点忘记了 他为什么越狱了就救赎了自己？
0,1292052,肖申克的救赎,4,9,有了目标才有动力啊
0,1292052,肖申克的救赎,5,5,影片是关于希望与信念的最好诠释，塑造了一个运用机智才华和精神意志抗争罪恶体制的伟大形象，肖申克如同一个社会缩影，主人公安迪在这个五脏俱全的生态系统中白手起家浴血重生。它之所以如此感动世人，是因为每个人或多或少都身处围墙之中，却未放弃有朝一日展翅飞翔的努力，而安迪这只羽翼光辉的鸟就给予了极大的慰藉。制度化对人性的禁锢是影片的另外一个重要主旨，老布的结局让人扼腕叹息。影片是原著文学改编电影的杰出典范，同样采用旁白视角串联故事构建人物，最大限度地保持主人公的神秘感，同时丰富了剧情内容，缩短了逃狱时间轴，将同类型人物集中化，让矛盾冲突更尖锐，最后的复仇也酣畅淋漓，“得救之道就在其中”。
0,1292052,肖申克的救赎,4,1,看完有两天了，但是……但是看完后的失望此刻还是没有忘记。改编得很好，但我更喜欢原著中那个提前搬走古董书画的安迪，那个没想到飓风会吹这么久，但仍旧提前做足了准备，费力爬过狭小肮脏让人呕吐的地道，然后像一缕烟消失的安迪，那个披着自由的隐形衣飞出了肖申克的安迪。原著给我的震动太大了，反而对电影感觉到失望。我想我会把小说重新看好多遍，而不是把电影重刷好多遍。
0,1292052,肖申克的救赎,5,0,有些电影，不看个四五遍，我是觉得真没有发言权。而这部电影是每个人的人生灯塔，并没有言过其实。全世界影迷心中的第一名，激励无数失意之人再次出发勇往直前。“挫折”、“心态”、“学识”、“机会”和“时间”这五个电影中的关键词，也在我们每个人的一生中极其有分量，对它们的不同认知，也会让你拥有不一样的人生。当Andy和Red在海滩拥抱时，对于与他们一同经历过一切的我们来讲，那份感动和满足，无以言表。
0,1292052,肖申克的救赎,4,9,多年后看意外没有减分严重
0,1292052,肖申克的救赎,5,1,当这部片被越来越多的人奉为最喜爱的电影时，它在我心中的地位不由地下降。故事很传奇，演员表演完美，Morgan Freeman的旁白...
0,1292052,肖申克的救赎,5,7,开头蠢到以为Andy深谙救赎之道，并不然，真正的救赎必定是海报上的场景出现的时候。毕竟这不是Andy的救赎，而是肖申克的救赎。
0,1292052,肖申克的救赎,5,5,他们说这是治疗抑郁症最好的电影还好我在自己快要得抑郁症的时候看了它它真的好精彩比起那些绚丽的特效激昂的动作片更容易走近我内心
0,1292052,肖申克的救赎,5,4,当瑞德说他也已经习惯了体制的时候，我也信了，觉得有的人注定是要被束缚在一个小小的天地里，可是当他最后找到安迪的时候，真的看到了一种前所未有的反差，看到希望的最强音，那是以为只是以为而已，希望之外确有一番新天地！
0,1292052,肖申克的救赎,3,7,有一种鸟儿是永远也关不住的，因为它的每片羽翼上都沾满了自由的光辉。
0,1292052,肖申克的救赎,5,7,toptoptop，希望，自由之源
0,1292052,肖申克的救赎,5,1,"Red narrating: I have to remind myself that some birds don’t mean to be caged . Their feathers are just too bright. And when they fly away, the part of you that knows it was a sin to lock them up. DOES rejoice. Still, the place you live in is that much more drab and empty that t"
0,1292052,肖申克的救赎,5,19,构思很独特
0,1292052,肖申克的救赎,5,16,"20岁时老师在课上分析该片，被平淡的叙事基调打退，不知为何经典。23岁这个宁静的夜晚独自观看，懂得，平凡的事物也可以做出非凡的精彩，是金子在哪里都可以发光。它和《阿甘正传》的味道很相似，细嚼慢咽，点点甜汇聚成令人回味无穷的甜美。它的成功在于它是一颗带给人希望的药丸，我看完它，我感受到生活的希望，我们知道生活终会苦尽甘来，即使现在很糟心。心灵的欲望会迸发出无穷的力量，我们的所想会引领我们到达自己想要去的地方。不得不说，最后安迪的逃跑有着浓烈的理想主义色彩和点点不切实际，但确实有震撼到我。与其像阿布一样年老体衰失去价值“被抛弃”，不如趁着还年轻飞往自由的天空。自由不是完全放任自我，而是心之所向，让此心安宁的地方，有希望才有活下去的动力，我希望我也能找到我生命的火花。"
0,1292052,肖申克的救赎,3,9,影史第一它肖申克担不起
0,1292052,肖申克的救赎,5,2,哥的人生只有40年，40年来看过得最好的电影就是他。（哥估计今后也不会有超越它甚至能跟他一较高下的电影）。是的，因为他，哥到现在仍不喜欢阿甘正传，不是阿甘不好，只怪它抢了肖的风头。
0,1292052,肖申克的救赎,5,15,让我过瘾很久，特别是最后的蓝色大海。
0,1292052,肖申克的救赎,1,15,一个地道挖二十年没人发现  侮辱观众智商  偏偏吹成第一  强奸民意
0,1292052,肖申克的救赎,5,6,要经常看一些经典的电影，就想读一些经典名著一样，其中获得的震撼和萦绕于心的感悟是深刻而持久的。时隔20多年再去回顾1994年的这部经典中的经典真是依旧让人亢奋。两个多小时意犹未尽，最后的I Hope激起了一身鸡皮疙瘩。
0,1292052,肖申克的救赎,5,9,能在大荧幕看到，是一种幸运。160514，新衡山。
0,1292052,肖申克的救赎,3,4,打三星不是因为不是好片。这部片不管在什么角度都是标准的教科书级别。个人原因不怎么喜欢太中正的电影，而且看过原著所以没多大感觉。印象最深的是安迪的唯一证人被枪杀的那一段。希望，希望，为什么一定要满怀希望？我们从没逃出过牢笼啊。
0,1292052,肖申克的救赎,5,6,有些鸟儿是不能关在笼子里的，它们的羽毛太漂亮了。当它们开始飞翔，你会觉得把它们关起来是种罪恶。但是，它们不在了定会让你感到寂寞
0,1292052,肖申克的救赎,5,10,希望让人自由
0,1292052,肖申克的救赎,4,2,好想给五星！！！！但是作为一个豆瓣新人 一开始给五星是会被当作水军自动清除的。只能用四星表达我对一部1000年内都不会差的好片的致敬。我总在想 什么是好电影 其实无非就是看了内心是充实的 而不是哈哈哈或者哇哇哇 而是充盈着满足感 一份看对了电影得到了营养的满足感。
0,1292052,肖申克的救赎,5,1,"""Hope is a good thing maybe the best of things. And no good thing ever dies.""名不虚传，94年是上帝想看电影的一年。致敬。"
0,1292052,肖申克的救赎,5,1,I guess it comes down to a simple choice: get busy living or get busy dying.想借这部如此沉重的电影写些什么，却似乎只有无语。总是这样，看完好电影，仿佛失去了所有的语言能力。喜欢摩根•弗里曼稳稳的，缓缓的旁白，和波澜不惊的表情 。
0,1292052,肖申克的救赎,5,3,安迪二十年的自我救赎让人震撼，布鲁克自杀让人痛心却又不意外，瑞德找到了自己的希望没有成为第二个布鲁克。经典的电影总是能打动人心
0,1292052,肖申克的救赎,5,12,这不是我们第一次面对黑暗，也不会是我们最后一次心怀光明
0,1292052,肖申克的救赎,5,2,"其实这片子基本可以不用说什么了  不管是国外的IMDB还是国内的时光网和豆瓣这片子都是排名第一  这就足矣证明这部片子了（BBC评选的""未获奥斯卡奖的最佳影片""1 The Shawshank Redemption肖申克的救赎 1994 2 It's a Wonderful Life生活多美好 1946）Fear can hold you prisoner. Hope can set you free"
0,1292052,肖申克的救赎,5,3,是經典，到最後人的救贖可能只有自己的思想是不屈的。渴望自由帶著憤恨渴望自由， 忍受苦難忍受本不應該有的苦難。而期間自由的輕松的唯有我自己的精神世界。
0,1292052,肖申克的救赎,5,4,印象最深刻的就是老人上吊的时候~人有的时候真的应该坚持自己的信念~不要习惯环境沉溺环境以致无法脱离~那是悲剧的人生
0,1292052,肖申克的救赎,5,6,没什么可说的，赶紧看吧。
0,1292052,肖申克的救赎,4,1,可能因为太经典了，当中的很多桥段被后人使用无数次，等到真正去看原版的时候基本上没什么感觉了……看教父、阿甘正传这些电影的时候总是有种无可奈何的感觉。
0,1292052,肖申克的救赎,4,4,“一开始会排斥它，然后开始接受，最后离不开它”。关于追求自由（但自由的人又是孤独的，体制与权威则反而可以给以安全感）的故事。不过个人认为影片本身有被高估的成分。
0,1292052,肖申克的救赎,5,6,配得上最完美的电影的称号 任何语言都失色
0,1292052,肖申克的救赎,2,6,觉得没有原著的表现力，原著看到“我希望……”那段瞬间热泪盈眶，电影没有给我这种感觉
0,1292052,肖申克的救赎,5,2,资料馆多功能厅2014.2.12.3pm 大银幕重看。整体节奏和人物安排非常杰出，每个人物都代表一定的意义层次，关于Institutionalized的展演颇为漂亮。最后那蓝的出奇的太平洋、和那条还需擦拭的破船，也挺值得玩味阐释。
0,1292052,肖申克的救赎,5,5,一切都是淡淡的，所以才给情绪的爆发做好了充足的准备。但说实话并没有在我心中是神片的地位。不过是因为大家都说好所以我也觉得好的心里暗示罢了
0,1292052,肖申克的救赎,5,2,有人不敢想，所以做不到，或者有人敢想，但是做不到。因为别人都不这么做，或者别人被体制化了而觉得不可能，我们就会觉得这样不行。监狱其实可以看作我们生活的社会，种种规则把每个人变成体制化的人，但只有最勇敢最坚强，内心存着最大希望的人，能够真正想到梦想，然后达成。
0,1292052,肖申克的救赎,5,1,"第一遍大一，第二遍大二，第三遍大二假期和爸爸，第四遍20120411，20150804第五遍。不是励志片，而是拍给俗人看的圣人片。“要么忙着好好活，要么忙着等着死。”20160605第六遍，Hope is a good thing, maybe the best of things。20200111第七遍五星，陆建艺老师配音版❤️"
0,1292052,肖申克的救赎,5,4,有的电影看完之后，可能记住了导演，可能记住了某些演员，可能记住了某些场景，片段，对白……但这部电影看完，所记住的就是一部电影。
0,1292052,肖申克的救赎,5,11,重温经典
0,1292052,肖申克的救赎,4,7,我不得不提醒自己，有些鸟是不能关在笼子里的，他们的羽毛太漂亮了，当它们飞走的时候…你会觉得把他们关起来是种罪恶，但是，他们不在了你会感到寂寞。
0,1292052,肖申克的救赎,3,12,算不上伟大的电影，只能说是成功的营销
0,1292052,肖申克的救赎,5,1,【影片的卓越之处在于它埋下了肌肤般的皱褶及河流般的跌宕，还有整部影片所暗示的西西弗斯式的劝喻。这个苦难的世界之所以能为我们所忍受，不在于它的真理式的唯一性，而在于通常一生仅有一次的恰当的表述。我把我个人的奥斯卡救赎奖授予肖申克。】
0,1292052,肖申克的救赎,5,9,Get busy living ，or get busy dying
0,1292052,肖申克的救赎,5,10,高智商的人在哪都是人才啊
0,1292052,肖申克的救赎,5,3,"其实一个有意思的点是安迪在地道挖好之后为什么不立刻逃跑呢。某种意义上，无论是在社会这个“大体制”还是监狱这个“小体制""中，他都能过的很好，找到自己的位置。如果不是因为被监狱长所激怒，如果不是因为他了解到他脱罪的可能，他是否真的就会从他的地道中脱出呢？等他真正从泥沼中脱出，他获得了自由之后，却反而进入了所谓“社会边缘”的位置——开一间小旅馆，经营一艘游船。与其说这是“反体制”的，不如说是自甘“边缘化”的。"
0,1292052,肖申克的救赎,5,2,如果有十星，那就是它！从一开始老布的绝望，“他还不如老死在监狱”，到安迪知道自己被陷害在臭水通道里爬行了500米获得自由，到已经过了40年体制化了的瑞德的假释，他的迷茫恐惧到位了遵从朋友的委托，最后终于又见到安迪。这一切的一切都在告诉我们，要么忙着生存，要么忙着死去。希望真是好东西啊
0,1292052,肖申克的救赎,5,3,紧扣心弦，情节超级超级紧张，回味无穷
0,1292052,肖申克的救赎,4,1,一部励志电影，一个很好的故事，最后的金色沙滩万人向往，没什么别的了，仅此而已，向伟大的电影致敬，那些走经典路线的导演们，你们都去死吧！
0,1292052,肖申克的救赎,5,6,“这些墙很有趣。刚入狱的时候，你痛恨周围的高墙；慢慢地，你习惯了生活在其中；最终你会发现自己不得不依靠它而生存。”最可怕的就是习惯，若习惯堕落，那只能一蹶不振，若习惯坚强，那便勇往无前。每当迷茫时总会重温这部电影！一切都会好起来的！
0,1292052,肖申克的救赎,5,3,人生就是不断摆脱“体制化”的过程。要么忙着生，要么忙着死。有《基督山伯爵》的影子，希望，才华，坚忍。缺一不可。
0,1292052,肖申克的救赎,2,8,两星只因为一个问题：为什么在男主每次遭遇三姐妹同志帮强奸的时候都没有人帮他？甚至在他为监狱里的犯人朋友们做了那么多以后？“我们喝了他的酒，也认为他是一个可敬的朋友，但是我们是不会在他被人设埋伏强奸的时候帮他的”？这一点导致我由衷感谢狱警长，毕竟是他为男主讨回了晚到太多的公道。
0,1292052,肖申克的救赎,4,3,一部不错的娱乐片。imdb top果然是民众的选择啊。
0,1292052,肖申克的救赎,5,2,不知道我在生日这天看到这电影有没有什么预兆或暗示。很励志。人物塑造很丰满。那老头让人感慨。想想五十年与世隔绝，你面对的世界会不会让你感到恐惧？到底有多少人可以像安迪一样是关不住的鸟？这样想来穿越是多可怕的一件事啊！影片最最后，不好意思，生硬的看出了基情。－ －
0,1292052,肖申克的救赎,4,1,看完小说完全剧透后再看电影，没有了情节所带来的触动与振奋人心，真心觉得电影本身的语言与叙事并不是那么的高超。
0,1292052,肖申克的救赎,5,1,"救赎的不仅仅是空间的自由，而是灵魂 hope is a good thing,and maybe the best thing at all.早就背熟的剧情，了然于心的台词，必须去影院亲自鼓掌致敬，心愿实现很开心！@2018上影节2018.6.18"
0,1292052,肖申克的救赎,5,1,"　1946年，年青的银行家安迪（蒂姆•罗宾斯 Tim Robbins 饰）被冤枉杀了他的妻子和其情人，这意味着他要在肖申克的监狱渡过余生。　　银行家出身的安迪很快就在监狱里很吃得开，他懂得如何帮助狱卒逃税，懂得如何帮监狱长将他收到的非法收入“洗白”，很快，安迪就成为了狱长的私人助理。　　一名小偷因盗窃入狱，他知道安迪妻子和她情人的死亡真相，兴奋的安迪找到了狱长，希望狱长能帮他翻案。虚伪的狱长表面上答应了安迪，暗中却派人杀死了小偷，只因他想安迪一直留在监狱帮他做帐。　　安迪知道真相后，决定通过自"
0,1292052,肖申克的救赎,4,2,男主角最后用虚拟户口领钱真潇洒！黑人朋友真好！读书青年太惨！电影没想象的沉重激动，但是不困不倦全部看完，足以证明其持续吸引力。最后黑人去树下拿铁盒，猜到是叫他去赴约。看着车子开在路上，他表情淡然，我心悠扬。直到蓝天大海，一艘小船，刷漆的男人，拥抱。有梦想，有希望。ps：老布太唏嘘。
0,1292052,肖申克的救赎,5,5,此片无关爱情，除了背叛。有的只是监狱中的男人间的友谊。他们都是内敛的人，然而洞悉一切，心意契合。我喜欢这种感情。
0,1292052,肖申克的救赎,4,0,MiniSD-TLF：http://www.verycd.com/topics/2803261/
0,1292052,肖申克的救赎,3,5,最被高估的电影
0,1292052,肖申克的救赎,4,1,我就说是美国片嘛，整部片子都是美国味儿！说回正题，片子剧情不错，但主角完美过头了属于非人类级别，削到四星。ps我从片子结尾看出了基味
0,1292052,肖申克的救赎,5,1,「希望与自由」，人类自我意识之最高追求与载体，过程却是万般的困难与艰苦，正因为事实上几乎所有人都求不得，才会对那些虚拟的故事和人物投射全部的情感，或许也是一种唯一可以赖以生存的念想，却不能放弃「希望与自由」本身。
0,1292052,肖申克的救赎,3,1,它讲述人性 传递能量 表达信念和希望，它满足了一本好电影所需要的所有元素，包括舒缓的配乐，以及冗长的剧情.....在还有一本电影的影评里看到这么一段话，大概意思是“给一本普遍好评的作品打低分总是有些心虚，但必须面对内心对它无感的事实。”这也是我看完后的想法。
